Activity Type, Date, Duration, Distance, Average heart rate
Cycling, 05/01/2023, 60, 10.55, 101
Swimming, 29/05/2020, 56,  2.78, 113
Cycling, 13/07/2021, 99, 30.44, 121
Running, 05/05/2022, 70, 10.99, 100
Cycling, 28/02/2022, 75, 16.16, 124
Swimming, 21/06/2020, 32,  1.65, 98
Swimming, 18/12/2022, 44,  1.66, 137
Cycling, 24/05/2022, 107, 22.08, 137
Running, 21/01/2021, 104, 10.84, 111
Running, 11/06/2021, 74, 12.07, 123
Running, 19/06/2022, 101, 12.84, 136
Running, 06/02/2021, 44,  5.36, 98
Running, 20/11/2020, 92, 13.13, 101
Cycling, 24/08/2021, 56, 12.95, 134
Swimming, 10/05/2022, 86,  3.52, 128
Running, 30/04/2022, 90,  9.12, 138
Cycling, 27/02/2020, 112, 18.67, 129
Swimming, 16/06/2021, 35,  1.06, 102
Cycling, 24/04/2022, 51, 13.03, 148
Cycling, 11/10/2022, 76, 14.79, 133
Swimming, 21/05/2021, 92,  5.82, 144
Swimming, 06/05/2021, 101,  3.29, 132
Cycling, 26/09/2022, 67, 14.32, 136
Swimming, 26/06/2020, 54,  2.11, 97
Swimming, 06/08/2021, 116,  5.12, 105
Running, 28/07/2022, 34,  3.43, 114
Running, 20/05/2020, 64,  6.93, 147
Swimming, 26/03/2022, 92,  2.86, 104
Running, 17/01/2023, 95, 12.78, 94
Cycling, 01/07/2022, 50,  9.92, 104
Swimming, 22/08/2021, 107,  6.39, 145
Swimming, 27/02/2021, 116,  7.11, 99
Cycling, 16/01/2022, 107, 32.91, 133
Running, 09/09/2021, 84, 10.57, 93
Cycling, 28/11/2020, 99, 30.76, 91
Swimming, 22/09/2021, 47,  1.76, 135
Running, 07/03/2021, 102, 13.60, 143
Running, 09/11/2022, 39,  5.55, 118
Running, 28/12/2021, 65, 10.50, 115
Running, 11/06/2021, 75, 11.58, 98
Running, 21/04/2020, 95, 15.24, 91
Running, 26/02/2020, 53,  7.84, 114
Running, 14/07/2020, 91,  9.91, 147
Running, 26/03/2022, 79, 10.00, 101
Running, 06/08/2020, 64,  8.17, 152
Running, 08/05/2022, 66,  9.19, 102
Running, 30/01/2020, 111, 15.13, 128
Cycling, 20/03/2020, 114, 34.24, 93
Running, 30/03/2020, 52,  7.11, 100
Cycling, 22/05/2022, 51, 10.52, 92
Running, 28/01/2022, 62,  8.87, 107
Cycling, 23/09/2021, 69, 12.43, 116
Swimming, 30/09/2022, 96,  5.37, 147
Swimming, 26/07/2020, 112,  2.99, 130
Swimming, 21/11/2022, 31,  1.19, 145
Swimming, 22/10/2021, 84,  5.21, 121
Cycling, 23/11/2021, 60, 18.36, 135
Cycling, 21/12/2021, 57, 17.70, 107
Swimming, 08/11/2021, 113,  3.44, 120
Swimming, 19/05/2022, 109,  4.76, 134
Running, 22/09/2022, 63, 10.76, 141
Running, 13/08/2021, 40,  6.55, 141
Swimming, 13/10/2022, 59,  3.70, 148
Cycling, 22/03/2022, 74, 22.68, 139
Cycling, 15/05/2022, 58, 13.51, 113
Swimming, 19/12/2021, 77,  3.40, 143
Swimming, 26/07/2021, 40,  1.79, 116
Cycling, 15/09/2022, 54, 11.62, 123
Cycling, 22/04/2022, 108, 18.03, 114
Running, 08/06/2021, 55,  6.33, 109
Cycling, 23/02/2022, 118, 26.61, 104
Swimming, 13/09/2020, 118,  5.79, 130
Swimming, 08/01/2021, 107,  3.26, 136
Cycling, 11/12/2021, 78, 22.71, 140
Cycling, 27/11/2020, 73, 15.20, 125
Running, 25/11/2020, 109, 18.68, 116
Running, 15/05/2020, 68, 10.01, 148
Running, 18/10/2020, 56,  7.01, 129
Cycling, 28/01/2023, 118, 29.64, 103
Running, 28/08/2022, 30,  3.87, 104
Cycling, 24/07/2022, 43,  7.61, 95
Running, 29/04/2020, 36,  3.92, 151
Swimming, 11/10/2021, 66,  3.76, 92
Running, 26/01/2020, 79,  9.97, 149
Swimming, 08/07/2020, 101,  4.77, 141
Swimming, 16/08/2021, 97,  5.14, 150
Cycling, 12/01/2021, 98, 22.49, 144
Cycling, 19/07/2022, 92, 26.45, 144
Running, 10/09/2020, 60,  6.22, 135
Cycling, 25/11/2021, 104, 17.96, 115
Swimming, 23/10/2022, 58,  1.80, 138
Cycling, 08/02/2020, 86, 21.62, 129
Cycling, 18/12/2020, 84, 20.98, 121
Running, 29/03/2021, 116, 13.47, 101
Running, 23/07/2020, 36,  5.23, 123
Swimming, 02/02/2022, 67,  3.90, 91
Cycling, 22/08/2020, 45, 10.67, 134
Cycling, 20/02/2022, 34,  8.24, 138
Running, 02/01/2020, 39,  4.52, 117
Cycling, 25/11/2022, 36,  6.87, 151
Running, 11/09/2020, 47,  5.05, 133
Swimming, 23/05/2022, 43,  1.62, 125
Running, 08/10/2022, 40,  5.45, 126
Running, 09/01/2021, 116, 15.11, 141
Cycling, 26/12/2022, 90, 16.24, 106
Running, 11/03/2021, 99, 15.33, 96
Cycling, 17/12/2022, 101, 21.68, 121
Swimming, 07/06/2020, 75,  3.76, 117
Cycling, 20/01/2021, 106, 22.86, 151
Cycling, 29/02/2020, 99, 25.16, 125
Cycling, 09/10/2020, 65, 19.51, 109
Swimming, 23/03/2020, 43,  1.33, 116
Swimming, 02/09/2020, 49,  2.34, 111
Running, 28/02/2021, 38,  4.66, 121
Swimming, 21/10/2022, 41,  1.87, 107
Running, 24/06/2020, 55,  6.47, 117
Swimming, 07/06/2020, 67,  3.67, 144
Cycling, 14/12/2020, 114, 34.99, 147
Running, 28/06/2020, 75,  8.76, 98
Swimming, 19/11/2020, 79,  3.79, 152
Swimming, 23/12/2021, 50,  1.51, 138
Swimming, 10/07/2021, 64,  2.13, 130
Swimming, 18/01/2022, 34,  1.81, 129
Cycling, 12/06/2020, 37,  7.07, 106
Running, 01/12/2021, 51,  8.52, 148
Cycling, 10/07/2020, 116, 27.43, 142
Running, 08/09/2021, 76, 10.11, 99
Cycling, 31/05/2022, 68, 14.71, 128
Cycling, 18/06/2021, 71, 19.49, 127
Cycling, 20/07/2021, 34,  7.71, 101
Swimming, 10/12/2021, 51,  1.77, 122
Swimming, 26/01/2023, 44,  1.28, 121
Swimming, 14/04/2020, 76,  2.99, 96
Running, 12/08/2021, 88, 12.33, 120
Running, 07/11/2021, 118, 12.26, 99
Running, 08/07/2022, 74,  9.88, 137
Swimming, 27/07/2022, 118,  4.28, 95
Running, 12/07/2021, 81, 12.70, 145
Swimming, 22/01/2020, 89,  3.67, 106
Cycling, 25/01/2021, 59, 14.78, 150
Running, 19/07/2020, 50,  7.32, 151
Running, 12/09/2020, 112, 15.80, 122
Cycling, 22/11/2020, 45,  9.64, 103
Running, 29/04/2021, 75, 11.12, 124
Swimming, 21/12/2020, 45,  1.26, 146
Swimming, 12/03/2022, 36,  1.49, 126
Running, 05/03/2020, 51,  5.49, 123
Swimming, 28/12/2022, 77,  2.34, 131
Swimming, 08/11/2020, 101,  4.30, 96
Cycling, 02/06/2021, 76, 23.76, 117
Swimming, 04/12/2021, 79,  4.13, 134
Cycling, 25/07/2021, 39,  7.59, 124
Cycling, 08/11/2021, 31,  8.56, 110
Swimming, 30/04/2021, 78,  4.02, 126
Swimming, 18/10/2021, 47,  1.69, 120
Cycling, 09/09/2022, 46, 14.13, 152
Swimming, 11/04/2021, 45,  2.70, 118
Swimming, 30/03/2022, 44,  2.37, 124
Running, 21/11/2021, 115, 20.11, 142
Swimming, 21/07/2021, 113,  4.48, 150
Running, 18/11/2020, 105, 12.60, 100
Swimming, 26/10/2021, 45,  2.32, 148
Running, 16/04/2020, 113, 19.57, 131
Running, 13/03/2020, 105, 15.43, 137
Cycling, 05/06/2022, 104, 28.91, 130
Swimming, 08/06/2022, 120,  3.24, 106
Cycling, 25/10/2021, 119, 29.10, 97
Cycling, 27/10/2021, 52,  9.77, 146
Swimming, 21/09/2022, 101,  4.11, 99
Swimming, 29/07/2020, 82,  5.13, 106
Swimming, 03/11/2020, 64,  2.35, 147
Swimming, 28/08/2020, 45,  2.42, 143
Swimming, 04/06/2020, 52,  1.43, 101
Cycling, 28/01/2023, 88, 22.43, 120
Swimming, 22/06/2020, 91,  5.61, 133
Running, 11/12/2022, 110, 14.79, 118
Cycling, 21/05/2022, 70, 21.92, 114
Swimming, 21/03/2020, 39,  1.23, 112
Swimming, 01/11/2021, 104,  5.45, 108
Swimming, 28/04/2021, 40,  1.65, 150
Cycling, 05/08/2022, 117, 30.36, 115
Cycling, 09/04/2021, 44, 10.62, 150
Cycling, 24/01/2021, 44,  9.99, 129
Cycling, 06/05/2022, 59, 17.00, 144
Cycling, 10/04/2020, 115, 25.10, 116
Running, 20/08/2020, 75, 12.66, 142
Swimming, 28/12/2020, 70,  4.39, 147
Running, 04/05/2021, 95,  9.59, 102
Swimming, 02/11/2021, 42,  1.74, 94
Running, 27/01/2021, 60,  8.66, 99
Running, 05/09/2020, 73, 11.48, 146
Cycling, 08/04/2022, 68, 16.45, 102
Swimming, 14/10/2022, 85,  3.71, 128
Cycling, 26/10/2020, 51, 11.21, 111
Swimming, 28/02/2021, 31,  1.45, 109
Cycling, 07/01/2022, 86, 16.41, 143
Swimming, 07/02/2021, 93,  4.57, 118
Running, 17/02/2022, 120, 20.64, 99
Cycling, 27/08/2020, 43,  8.64, 114
Swimming, 24/07/2021, 38,  2.00, 90
Cycling, 29/12/2020, 59, 15.50, 148
Cycling, 09/12/2021, 109, 33.82, 105
Swimming, 21/08/2020, 47,  2.44, 103
Swimming, 07/09/2022, 59,  3.19, 90
Cycling, 17/03/2021, 42,  9.87, 147
Cycling, 15/09/2021, 71, 21.07, 117
Swimming, 28/11/2021, 44,  1.20, 111
Swimming, 03/07/2020, 48,  1.85, 136
Running, 11/08/2020, 109, 13.44, 147
Swimming, 09/05/2021, 50,  2.02, 113
Swimming, 10/06/2020, 110,  5.00, 121
Running, 22/10/2022, 104, 16.01, 142
Swimming, 31/01/2023, 79,  4.48, 152
Swimming, 24/04/2022, 46,  1.97, 146
Cycling, 08/04/2020, 81, 16.15, 101
Swimming, 27/11/2022, 92,  5.71, 150
Swimming, 19/08/2021, 92,  2.74, 126
Running, 09/08/2020, 41,  5.60, 90
Cycling, 29/04/2020, 70, 21.91, 113
Cycling, 03/06/2021, 61, 14.14, 148
Cycling, 20/06/2022, 37, 11.44, 108
Running, 07/03/2020, 86, 10.87, 144
Running, 03/06/2021, 32,  4.97, 105
Swimming, 03/02/2021, 71,  3.92, 101
Cycling, 22/06/2022, 51, 13.22, 99
Swimming, 07/01/2021, 91,  2.43, 119
Running, 13/11/2022, 113, 17.34, 140
Running, 05/07/2020, 90, 13.22, 140
Cycling, 06/07/2020, 110, 20.53, 135
Swimming, 26/05/2020, 67,  1.87, 114
Swimming, 27/06/2022, 91,  5.03, 145
Running, 19/08/2020, 111, 16.87, 109
Cycling, 27/09/2021, 93, 21.73, 132
Cycling, 29/05/2020, 75, 16.11, 134
Running, 23/02/2021, 98, 11.75, 136
Swimming, 03/09/2022, 32,  0.89, 148
Swimming, 28/01/2020, 33,  2.06, 127
Cycling, 14/08/2022, 92, 17.07, 119
Cycling, 26/05/2021, 89, 17.73, 117
Swimming, 19/01/2023, 58,  2.70, 124
Cycling, 25/03/2020, 112, 27.49, 152
Running, 25/04/2021, 62, 10.45, 97
Running, 31/03/2020, 93, 12.84, 147
Swimming, 04/03/2021, 44,  1.68, 116
Running, 04/09/2021, 48,  7.92, 94
Running, 21/12/2022, 47,  7.12, 127
Swimming, 11/01/2021, 39,  1.70, 91
Cycling, 03/10/2020, 48,  8.30, 146
Swimming, 31/07/2021, 61,  2.53, 120
Swimming, 05/06/2020, 90,  2.74, 151
Cycling, 05/03/2021, 79, 17.99, 142
Running, 03/08/2021, 90, 10.70, 150
Swimming, 07/06/2022, 109,  5.85, 103
Swimming, 02/12/2021, 62,  2.88, 132
Cycling, 22/12/2020, 30,  6.86, 131
Running, 02/05/2021, 105, 10.51, 127
Swimming, 04/12/2022, 55,  2.38, 121
Cycling, 25/10/2022, 100, 30.20, 116
Swimming, 13/12/2021, 87,  5.55, 139
Running, 01/03/2022, 69,  8.64, 94
Cycling, 13/03/2021, 94, 23.93, 111
Cycling, 06/03/2020, 51, 13.83, 102
Running, 25/02/2020, 92, 15.63, 129
Running, 02/08/2020, 62,  8.59, 152
Running, 10/09/2020, 88, 14.88, 117
Cycling, 30/05/2021, 118, 36.79, 93
Swimming, 26/01/2021, 33,  0.96, 115
Cycling, 06/11/2020, 58, 17.26, 90
Swimming, 24/10/2020, 63,  2.39, 122
Running, 22/07/2020, 86, 14.39, 118
Swimming, 15/10/2022, 49,  2.46, 101
Cycling, 22/02/2022, 32,  9.88, 117
Swimming, 05/03/2020, 36,  1.28, 130
Cycling, 02/01/2022, 53, 15.06, 143
Cycling, 08/09/2020, 107, 32.43, 120
Running, 15/03/2020, 43,  4.73, 143
Swimming, 12/12/2022, 111,  4.86, 90
Swimming, 27/02/2020, 51,  2.94, 125
Cycling, 27/10/2022, 33,  8.94, 135
Swimming, 02/11/2022, 52,  2.26, 152
Cycling, 30/06/2020, 47,  8.22, 134
Swimming, 26/09/2021, 59,  3.56, 97
Cycling, 15/06/2021, 108, 18.46, 114
Running, 15/06/2022, 54,  6.77, 121
Cycling, 30/01/2021, 34,  9.94, 114
Swimming, 10/06/2021, 40,  1.20, 146
Swimming, 13/12/2022, 74,  3.97, 137
Cycling, 07/10/2022, 103, 25.45, 138
Cycling, 12/09/2022, 35,  9.65, 134
Swimming, 16/11/2021, 87,  4.23, 141
Cycling, 10/07/2022, 48,  8.49, 129
Running, 06/11/2022, 61,  6.99, 127
Cycling, 14/01/2022, 48,  8.29, 132
Cycling, 06/02/2022, 32,  9.63, 90
Running, 07/07/2020, 113, 11.50, 133
Running, 29/07/2021, 37,  5.36, 150
Swimming, 03/05/2022, 88,  3.64, 141
Cycling, 28/03/2020, 75, 13.64, 119
Swimming, 31/03/2021, 84,  4.87, 145
Swimming, 25/06/2022, 65,  3.06, 135
Cycling, 13/07/2022, 98, 18.10, 100
Running, 23/06/2020, 115, 18.53, 103
Running, 03/12/2022, 52,  8.96, 113
Swimming, 28/03/2022, 35,  2.09, 94
Cycling, 29/11/2020, 63, 11.73, 138
Cycling, 10/08/2020, 97, 19.20, 95
Cycling, 27/05/2022, 111, 25.33, 137
Running, 20/01/2020, 79, 12.77, 146
Cycling, 04/07/2021, 99, 29.29, 137
Swimming, 13/08/2022, 83,  2.22, 91
Cycling, 18/01/2020, 38,  6.45, 147
Cycling, 16/02/2021, 96, 16.94, 150
Swimming, 29/11/2021, 98,  4.67, 99
Swimming, 04/07/2020, 33,  1.85, 127
Swimming, 07/12/2021, 80,  4.72, 111
Swimming, 14/02/2022, 73,  4.51, 94
Swimming, 20/05/2022, 45,  2.43, 142
Cycling, 11/04/2020, 69, 14.57, 151
Cycling, 22/09/2022, 110, 25.11, 93
Running, 18/02/2021, 69, 10.54, 110
Swimming, 30/11/2022, 41,  2.39, 107
Swimming, 09/10/2022, 111,  6.75, 117
Swimming, 24/07/2020, 55,  3.22, 116
Cycling, 01/02/2022, 108, 31.39, 140
Cycling, 15/10/2022, 32,  7.61, 113
Swimming, 13/07/2020, 111,  5.22, 134
Swimming, 18/06/2020, 82,  3.53, 121
Swimming, 16/04/2021, 68,  2.09, 124
Swimming, 09/11/2020, 48,  2.82, 103
Running, 06/10/2022, 54,  8.46, 112
Cycling, 09/08/2022, 81, 24.00, 108
Running, 15/11/2020, 66,  7.14, 125
Swimming, 29/10/2022, 95,  6.06, 127
Cycling, 03/01/2021, 47, 13.33, 113
Running, 30/07/2022, 43,  5.07, 143
Cycling, 04/06/2021, 38,  8.47, 114
Running, 02/10/2020, 43,  5.49, 91
Cycling, 24/10/2021, 89, 18.51, 110
Swimming, 24/12/2021, 106,  3.81, 100
Swimming, 10/11/2020, 56,  1.79, 132
Running, 19/12/2022, 100, 17.18, 101
Running, 26/04/2022, 91, 11.74, 124
Running, 02/07/2020, 59,  7.93, 129
Cycling, 02/08/2022, 54, 13.97, 129
Swimming, 04/04/2021, 80,  4.10, 144
Swimming, 01/06/2020, 116,  4.52, 141
Cycling, 08/10/2021, 38, 10.03, 132
Cycling, 25/04/2020, 107, 25.18, 141
Running, 27/06/2021, 109, 16.17, 130
Cycling, 03/12/2020, 89, 24.96, 122
Cycling, 04/10/2020, 32,  7.96, 141
Running, 16/05/2020, 52,  5.72, 139
Cycling, 13/08/2020, 36, 10.54, 123
Running, 23/12/2021, 79, 11.43, 144
Running, 29/11/2022, 93, 12.23, 106
Cycling, 30/08/2022, 62, 15.61, 122
Running, 11/07/2020, 35,  3.95, 111
Running, 31/01/2022, 89, 11.27, 138
Cycling, 30/10/2020, 54, 10.60, 99
Cycling, 17/09/2021, 95, 23.38, 96
Cycling, 09/07/2020, 63, 18.40, 101
Swimming, 14/12/2021, 101,  4.06, 126
Running, 26/06/2021, 63,  9.56, 105
Cycling, 03/07/2022, 39,  9.18, 116
Cycling, 03/01/2020, 112, 34.98, 149
Swimming, 02/10/2022, 117,  7.26, 126
Cycling, 17/04/2022, 119, 21.37, 147
Swimming, 01/12/2022, 77,  4.11, 101
Swimming, 25/08/2022, 120,  4.84, 133
Running, 12/07/2022, 47,  7.86, 134
Swimming, 20/12/2020, 46,  2.92, 124
Swimming, 26/04/2020, 35,  1.02, 104
Swimming, 02/03/2021, 107,  5.36, 118
Running, 01/09/2020, 80,  9.28, 132
Cycling, 06/09/2022, 104, 23.14, 112
Running, 02/04/2022, 109, 12.05, 107
Running, 28/05/2022, 75, 11.74, 121
Running, 17/02/2021, 64,  8.89, 112
Swimming, 21/09/2021, 90,  4.30, 128
Cycling, 21/04/2022, 54, 10.04, 136
Cycling, 26/02/2022, 70, 17.64, 114
Cycling, 30/05/2022, 109, 26.12, 95
Swimming, 11/11/2021, 45,  1.22, 148
Cycling, 05/01/2021, 61, 13.75, 109
Running, 06/03/2021, 84,  9.73, 96
Swimming, 14/06/2020, 74,  3.80, 112
Swimming, 02/06/2022, 91,  2.87, 123
Cycling, 18/03/2020, 32,  8.11, 127
Swimming, 13/05/2020, 111,  6.07, 96
Running, 09/01/2020, 82, 14.16, 144
Cycling, 19/08/2022, 106, 22.91, 104
Swimming, 23/12/2022, 72,  4.11, 136
Cycling, 27/09/2020, 32,  7.81, 108
Swimming, 29/12/2022, 112,  3.24, 147
Cycling, 01/02/2022, 60, 12.95, 100
Running, 12/10/2020, 54,  6.72, 101
Swimming, 28/08/2021, 73,  3.54, 131
Cycling, 27/07/2020, 30,  9.41, 146
Running, 13/05/2021, 65, 11.36, 109
Cycling, 06/05/2020, 113, 22.31, 152
Swimming, 21/10/2021, 102,  5.73, 136
Cycling, 11/03/2022, 39, 10.26, 134
Swimming, 23/01/2020, 82,  4.65, 93
Cycling, 16/10/2020, 59, 14.98, 134
Swimming, 04/04/2020, 66,  3.09, 122
Running, 19/06/2022, 68, 11.68, 116
Swimming, 18/07/2022, 70,  3.97, 150
Swimming, 17/05/2021, 104,  5.30, 127
Running, 23/08/2021, 82, 10.90, 148
Cycling, 16/03/2020, 56, 12.16, 136
Cycling, 10/09/2021, 37,  9.81, 152
Running, 14/03/2021, 71,  8.14, 112
Cycling, 07/09/2022, 110, 33.84, 113
Swimming, 30/05/2020, 107,  3.06, 99
Cycling, 13/08/2021, 47, 13.13, 99
Cycling, 16/05/2020, 97, 29.56, 133
Swimming, 16/08/2020, 31,  1.03, 94
Swimming, 19/02/2022, 88,  3.71, 102
Cycling, 06/09/2021, 42,  7.70, 132
Swimming, 12/09/2021, 75,  3.15, 117
Running, 06/12/2022, 85, 10.78, 145
Running, 13/06/2022, 34,  5.03, 99
Running, 23/05/2021, 85, 13.73, 106
Running, 06/04/2021, 88,  9.30, 95
Cycling, 28/10/2021, 113, 23.11, 91
Cycling, 14/01/2020, 39,  7.24, 96
Swimming, 26/07/2022, 92,  3.62, 100
Running, 11/06/2022, 102, 10.57, 130
Running, 12/02/2021, 57,  9.63, 116
Running, 10/10/2021, 45,  5.39, 136
Cycling, 09/05/2020, 73, 14.68, 119
Running, 12/04/2022, 82, 10.31, 137
Running, 02/10/2021, 88,  9.28, 102
Swimming, 23/08/2022, 63,  3.33, 97
Swimming, 02/04/2021, 72,  2.44, 135
Swimming, 09/06/2022, 106,  5.94, 97
Cycling, 07/05/2021, 100, 21.81, 113
Cycling, 10/03/2021, 80, 23.37, 132
Cycling, 14/10/2020, 42, 10.19, 117
Running, 15/02/2020, 68,  6.95, 120
Cycling, 31/01/2021, 91, 20.89, 97
Swimming, 29/09/2021, 95,  4.72, 132
Swimming, 12/03/2020, 108,  5.37, 147
Swimming, 03/01/2022, 71,  2.60, 139
Cycling, 12/05/2021, 103, 24.75, 99
Swimming, 29/07/2022, 35,  2.23, 108
Swimming, 15/07/2022, 45,  1.74, 103
Cycling, 19/09/2021, 86, 18.43, 122
Cycling, 10/04/2022, 118, 25.67, 122
Running, 02/06/2022, 61,  6.86, 143
Running, 04/08/2020, 51,  5.82, 90
Swimming, 11/06/2020, 75,  4.76, 148
Swimming, 12/12/2020, 33,  1.44, 115
Running, 24/09/2020, 116, 13.07, 118
Running, 27/08/2022, 76,  8.43, 113
Cycling, 21/06/2021, 116, 29.17, 120
Running, 16/01/2023, 54,  5.42, 107
Cycling, 22/03/2021, 32,  5.50, 90
Running, 21/05/2020, 98, 14.00, 120
Swimming, 09/08/2021, 116,  7.32, 139
Cycling, 04/11/2021, 66, 12.19, 99
Cycling, 01/07/2021, 76, 12.70, 107
Running, 14/01/2021, 40,  6.73, 90
Swimming, 25/07/2020, 47,  1.32, 145
Swimming, 31/10/2020, 32,  1.11, 99
Running, 13/02/2021, 44,  7.05, 132
Swimming, 03/06/2022, 70,  3.37, 133
Cycling, 07/04/2022, 94, 19.36, 119
Cycling, 26/11/2020, 73, 18.72, 108
Swimming, 27/12/2020, 60,  2.58, 127
Swimming, 25/09/2020, 59,  1.60, 104
Cycling, 23/01/2023, 52, 13.48, 127
Running, 14/03/2022, 117, 17.62, 105
Swimming, 06/04/2022, 88,  3.26, 145
Swimming, 04/01/2023, 103,  4.06, 150
Swimming, 09/03/2021, 37,  1.59, 115
Swimming, 24/03/2021, 66,  3.58, 129
Cycling, 16/06/2020, 83, 19.28, 104
Running, 06/06/2021, 73, 11.59, 148
Cycling, 18/07/2020, 88, 19.08, 137
Swimming, 08/02/2021, 87,  2.67, 120
Running, 20/05/2021, 91, 12.13, 110
Cycling, 19/12/2021, 52, 12.20, 129
Swimming, 12/08/2022, 53,  2.17, 118
Running, 02/03/2020, 60,  7.48, 108
Cycling, 09/12/2020, 53, 11.68, 152
Cycling, 04/07/2021, 44, 11.60, 116
Running, 12/01/2020, 59,  8.81, 136
Running, 30/12/2020, 58,  9.34, 149
Running, 13/02/2020, 55,  8.05, 111
Swimming, 21/10/2020, 97,  5.01, 140
Running, 03/02/2022, 88, 13.05, 91
Running, 01/11/2022, 79, 13.52, 104
Running, 31/12/2022, 81, 14.07, 101
Running, 24/04/2021, 113, 17.74, 143
Cycling, 16/02/2021, 44,  8.21, 135
Swimming, 28/05/2021, 51,  2.27, 117
Running, 29/01/2020, 49,  7.79, 91
Running, 17/01/2021, 77,  9.68, 150
Cycling, 08/12/2020, 79, 21.66, 117
Cycling, 12/10/2021, 79, 22.06, 116
Swimming, 03/03/2021, 91,  4.68, 135
Swimming, 31/07/2020, 42,  1.84, 142
Running, 14/07/2021, 68, 10.74, 144
Running, 05/07/2022, 90, 11.95, 151
Running, 14/10/2022, 36,  4.00, 129
Cycling, 22/02/2020, 117, 27.95, 105
Running, 29/10/2020, 92, 15.21, 135
Swimming, 27/01/2023, 101,  5.93, 142
Running, 14/11/2021, 38,  4.19, 138
Swimming, 02/01/2021, 60,  1.79, 148
Cycling, 14/06/2021, 98, 24.58, 109
Running, 20/01/2022, 44,  5.39, 100
Running, 28/07/2021, 40,  4.16, 122
Swimming, 25/08/2020, 99,  5.68, 105
Swimming, 19/01/2021, 61,  2.01, 141
Swimming, 17/10/2022, 52,  2.12, 128
Running, 07/12/2022, 70,  7.67, 135
Swimming, 13/01/2021, 97,  4.02, 124
Running, 01/08/2022, 59,  6.22, 111
Swimming, 02/09/2021, 81,  2.32, 149
Running, 03/05/2020, 36,  3.69, 91
Running, 24/09/2022, 54,  6.62, 113
Swimming, 15/06/2022, 56,  2.10, 139
Running, 03/03/2022, 101, 13.18, 136
Running, 05/09/2020, 101, 15.11, 133
Cycling, 19/02/2021, 56, 11.02, 108
Cycling, 20/04/2021, 55, 13.32, 147
Running, 14/03/2020, 49,  6.43, 93
Running, 25/12/2022, 68,  6.81, 98
Cycling, 06/01/2020, 120, 32.74, 126
Cycling, 25/05/2022, 104, 20.86, 90
Swimming, 12/01/2022, 64,  1.82, 109
Swimming, 14/12/2022, 79,  4.46, 93
Cycling, 17/08/2022, 102, 22.93, 118
Running, 27/08/2021, 99, 15.26, 100
Running, 10/03/2020, 41,  5.07, 98
Swimming, 19/10/2022, 47,  2.81, 101
Running, 28/04/2022, 118, 16.24, 122
Swimming, 11/09/2022, 117,  5.65, 91
Running, 20/12/2021, 74,  9.37, 121
Swimming, 15/07/2021, 66,  3.71, 134
Cycling, 04/03/2020, 104, 20.40, 141
Cycling, 24/08/2020, 73, 12.72, 92
Swimming, 25/01/2020, 60,  2.49, 119
Running, 20/11/2021, 35,  4.98, 145
Swimming, 19/01/2020, 90,  4.01, 120
Swimming, 05/11/2022, 83,  4.04, 149
Swimming, 23/09/2022, 71,  3.20, 134
Cycling, 03/01/2023, 37,  9.17, 146
Running, 25/04/2022, 32,  4.05, 122
Running, 01/04/2020, 40,  4.71, 95
Swimming, 22/10/2020, 107,  4.61, 93
